  ,Reg #,AC #,Delivery Yr,SEAT MAP,Configuration
20S,A320,Over,water,,Non have ETOPS
38M,N17309,7309,2023,NEXT,16F/54E+/96Y
38M,N17310,7310,2023,NEXT,16F/54E+/96Y
38M,N17311,7311,2023,NEXT,16F/54E+/96Y
38M,N17312,7312,2023,NEXT,16F/54E+/96Y
38M,N37313,7313,2023,NEXT,16F/54E+/96Y
38M,N17314,7314,2023,NEXT,16F/54E+/96Y
38M,N17316,7316,2023,NEXT,16F/54E+/96Y
38M,N17317,7317,2023,NEXT,16F/54E+/96Y
38M,N37318,7318,2023,NEXT,16F/54E+/96Y
38M,N37319,7319,2023,NEXT,16F/54E+/96Y
38M,N17320,7320,2023,NEXT,16F/54E+/96Y
38M,N17321,7321,2023,NEXT,16F/54E+/96Y
38M,N17322,7322,2023,NEXT,16F/54E+/96Y
38M,N27323,7323,2023,NEXT,16F/54E+/96Y
38M,N37324,7324,2023,NEXT,16F/54E+/96Y
38M,N37325,7325,2023,NEXT,16F/54E+/96Y
38M,N17326,7326,2023,NEXT,16F/54E+/96Y
38M,N17327,7327,2023,NEXT,16F/54E+/96Y
38M,N17328,7328,2023,NEXT,16F/54E+/96Y
38M,N17329,7329,2023,NEXT,16F/54E+/96Y
38M,N47330,7330,2023,NEXT,16F/54E+/96Y
38M,N17331,7331,2024,NEXT,16F/54E+/96Y
38M,N47332,7332,2024,NEXT,16F/54E+/96Y
38M,N17333,7333,2023,NEXT,16F/54E+/96Y
38M,N27334,7334,2023,NEXT,16F/54E+/96Y
38M,N17336,7336,2024,NEXT,16F/54E+/96Y
38M,N17337,7337,2024,NEXT,16F/54E+/96Y
38M,N17338,7338,2024,NEXT,16F/54E+/96Y
38M,N17339,7339,2024,NEXT,16F/54E+/96Y
38M,N47340,7340,2023,NEXT,16F/54E+/96Y
38M,N37342,7342,2024,NEXT,16F/54E+/96Y
,,,,,
Non ER 73C,739,, ,,ViaSat Ka Band Mainland only
739,N30401 ,3401 ,2001 ,Slimline,20F/42E+/117Y
739,N79402 ,3402 ,2001 ,Slimline,20F/42E+/117Y
739,N38403 ,3403 ,2001 ,Slimline,20F/45E+/114Y
739,N32404 ,3404 ,2001 ,Slimline,20F/45E+/114Y
739,N72405 ,3405 ,2001 ,Slimline,20F/45E+/114Y
739,N73406 ,3406 ,2001 ,Slimline,20F/45E+/114Y
739,N35407 ,3407 ,2001 ,Slimline,20F/45E+/114Y
739,N37408 ,3408 ,2001 ,Slimline,20F/42E+/117Y
739,N37409 ,3409 ,2001 ,Slimline,20F/45E+/114Y
739,N75410 ,3410 ,2001 ,Slimline,20F/45E+/114Y
739,N71411 ,3411 ,2001 ,Slimline,20F/42E+/117Y
739,N31412 ,3412 ,2001 ,Slimline,20F/45E+/114Y
 73L,739ER,,,,
739ER,N37413 ,3413 ,2008 ,Slimline,20F/42E+/117Y
739ER,N47414 ,3414 ,2008 ,Slimline,20F/45E+/114Y
739ER,N39415 ,3415 ,2008 ,Slimline,20F/45E+/114Y
739ER,N39416 ,3416 ,2010 ,Slimline,20F/45E+/114Y
739ER,N38417 ,3417 ,2008 ,Slimline,20F/45E+/114Y
739ER,N39418 ,3418 ,2008 ,Slimline,20F/45E+/114Y
739ER,N37419 ,3419 ,2008 ,Slimline,20F/45E+/114Y
739ER,N37420 ,3420 ,2008 ,Slimline,20F/45E+/114Y
